TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.01
short,serial,25,0.01
short,serial,50,0.01
short,serial,100,0.02
short,serial,150,0.03
short,serial,200,0.04
short,serial,250,0.05
short,serial,300,0.06
short,serial,350,0.07
short,serial,400,0.07
short,serial,450,0.08
short,serial,500,0.09
short,parallel,10,0.05
short,parallel,25,0.10
short,parallel,50,0.18
short,parallel,100,0.35
short,parallel,150,0.55
short,parallel,200,0.79
short,parallel,250,1.00
short,parallel,300,1.27
short,parallel,350,1.57
short,parallel,400,1.76
short,parallel,450,2.14
short,parallel,500,2.42
long,serial,10,0.02
long,serial,25,0.03
long,serial,50,0.05
long,serial,100,0.11
long,serial,150,0.14
long,serial,200,0.19
long,serial,250,0.26
long,serial,300,0.27
long,serial,350,0.30
long,serial,400,0.34
long,serial,450,0.39
long,serial,500,0.46
long,parallel,10,0.05
long,parallel,25,0.09
long,parallel,50,0.18
long,parallel,100,0.36
long,parallel,150,0.54
long,parallel,200,0.75
long,parallel,250,0.95
long,parallel,300,1.27
long,parallel,350,1.49
long,parallel,400,1.80
long,parallel,450,2.05
long,parallel,500,2.52
