TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.01
short,serial,25,0.01
short,serial,50,0.01
short,serial,100,0.02
short,serial,200,0.04
short,serial,500,0.09
short,parallel,10,0.04
short,parallel,25,0.08
short,parallel,50,0.16
short,parallel,100,0.35
short,parallel,200,0.72
short,parallel,500,2.33
long,serial,10,0.01
long,serial,25,0.01
long,serial,50,0.01
long,serial,100,0.02
long,serial,200,0.04
long,serial,500,0.11
long,parallel,10,0.04
long,parallel,25,0.12
long,parallel,50,0.20
long,parallel,100,0.34
long,parallel,200,0.72
long,parallel,500,2.31
